,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
242,起,"<span class=""tone3"">起</span>","<span class=""tone3"">qǐ</span><!--qi-->",to get up; to start; {MW} incidents of something,"<span class=""tone3"">起</span><span class=""tone2"">床</span>{{c1:: － <span class=""tone3"">qǐ</span><span class=""tone2"">chuáng</span> － to get up from bed}}","<span class=""tone1"">一</span><span class=""tone3"">起</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">qǐ</span> － together}}","<span class=""tone5"">起</span><span class=""tone5"">来</span>{{c1:: － <span class=""tone5"">qi</span><span class=""tone5"">lai</span> － to stand up, to rise}}",,,"该<span class=""highlight"">起</span>床了！",It's time to get up.,Gāi qǐchuáng le!,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36215.gif"" alt=""起""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-6d82bc2c-cf521a79-dc6efde2-1b100212-52f1f9e5.wav,qǐ,qǐ,Tone 3 ( ̌)
243,导,"<span class=""tone3"">导</span>","<span class=""tone3"">dǎo</span><!--dao-->",to guide,"<span class=""tone3"">指</span><span class=""tone3"">导</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone3"">dǎo</span> － supervise; direct}}","<span class=""tone3"">导</span><span class=""tone2"">游</span>{{c1:: － <span class=""tone3"">dǎo</span><span class=""tone2"">yóu</span> － tour guide}}",,,,"她辅<span class=""highlight"">导</span>孩子们学习。",She is helping the kids with their studies.,Tā fǔdǎo háizimen xuéxí.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23548.gif"" alt=""导""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-2990b9d9-f23e661d-0349eddd-39f9900c-80cfbde0.wav,dǎo,dǎo,Tone 3 ( ̌)
244,种,"<span class=""tone3"">种</span>","<span class=""tone3"">zhǒng</span><!--zhong-->","seed; species; {MW} kind, type, sort","<span class=""tone3"">种</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone3"">zhǒng</span><span class=""tone5"">zi</span> － seed}}",,,,,"小摊上摆着很多<span class=""highlight"">种</span>蔬菜。",Many vegetables are on display at the stall.,Xiǎo tān shàng bǎizhe hěn duō zhǒng shūcài.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31181.gif"" alt=""种""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-f67aed4d-a0e074dc-bd7bfbc9-96b87ffa-357cc8aa.wav,zhǒng,zhǒng,Tone 3 ( ̌)
245,足,"<span class=""tone2"">足</span>","<span class=""tone2"">zú</span><!--zu-->",foot,"<span class=""tone3"">满</span><span class=""tone2"">足</span>{{c1:: － <span class=""tone3"">mǎn</span><span class=""tone2"">zú</span> － satisfy}}","<span class=""tone2"">足</span><span class=""tone2"">球</span>{{c1:: － <span class=""tone2"">zú</span><span class=""tone2"">qiú</span> － soccer}}",,,,"沙滩上留下了她的<span class=""highlight"">足</span>迹。",Her footprints were left on the beach.,Shātān shàng liúxiale tā de zújì.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36275.gif"" alt=""足""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-67a567a6-534bb8ea-e7421062-662a89da-6f5d826f.wav,zú,zú,Tone 2 ( ́)
246,很,"<span class=""tone3"">很</span>","<span class=""tone3"">hěn</span><!--hen-->",very,"<span class=""tone3"">很</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone3"">hěn</span><span class=""tone3"">hǎo</span> － very good/well}}","<span class=""tone3"">很</span><span class=""tone4"">坏</span>{{c1:: － <span class=""tone3"">hěn</span><span class=""tone4"">huài</span> － very bad}}","<span class=""tone3"">很</span><span class=""tone1"">多</span>{{c1:: － <span class=""tone3"">hěn</span><span class=""tone1"">duō</span> － a lot of}}","<span class=""tone3"">很</span><span class=""tone4"">近</span>{{c1:: － <span class=""tone3"">hěn</span><span class=""tone4"">jìn</span> － very near}}",,"他这个人好得<span class=""highlight"">很</span>。",He's a very good man.,tā zhè ge rén hǎo de hěn 。<!--ta zhe ge ren hao de hen 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24456.gif"" alt=""很""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-cada3d93-f3fd45ec-bb37aba0-f1d7dc6a-736883ac.wav,hěn,hěn,Tone 3 ( ̌)
247,根,"<span class=""tone1"">根</span>","<span class=""tone1"">gēn</span><!--gen-->",root,"<span class=""tone1"">根</span><span class=""tone3"">本</span>{{c1:: － <span class=""tone1"">gēn</span><span class=""tone3"">běn</span> － essesnce; basic}}",,,,,"酒杯里有一<span class=""highlight"">根</span>牙签。",There's a toothpick in the wineglass.,Jiǔbēi lǐ yǒu yī gēn yáqiān.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26681.gif"" alt=""根""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-bdafc2ca-0d023006-f68634d0-d3c8fbaa-9ddd8ac5.wav,gēn,gēn,Tone 1 ( ̄)
248,跟,"<span class=""tone1"">跟</span>","<span class=""tone1"">gēn</span><!--gen-->",with (together),"<span class=""tone1"">跟</span><span class=""tone5"">前</span>{{c1:: － <span class=""tone1"">gēn</span><span class=""tone5"">qian</span> － in front of; close to}}",,,,,"他<span class=""highlight"">跟</span>女朋友辞别。",He's saying goodbye to his girlfriend.,Tā gēn nǚpéngyǒu cíbié.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36319.gif"" alt=""跟""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-10417b56-bf0406b7-316c259f-115c54b1-1c9284fa.wav,gēn,gēn,Tone 1 ( ̄)
249,眼,"<span class=""tone3"">眼</span>","<span class=""tone3"">yǎn</span><!--yan-->",eye,"<span class=""tone3"">眼</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone3"">yǎn</span><span class=""tone2"">qián</span> － before one's eyes; at this very moment}}","<span class=""tone3"">眼</span><span class=""tone5"">睛</span>{{c1:: － <span class=""tone3"">yǎn</span><span class=""tone5"">jing</span> － eyes}}","<span class=""tone3"">眼</span><span class=""tone2"">镜</span>{{c1:: － <span class=""tone3"">yǎn</span><span class=""tone5"">jìng</span> － eye glasses}}",,,"太阳发出耀<span class=""highlight"">眼</span>的光辉。",The sun shone with dazzling brightness.,Tàiyáng fāchū yàoyǎn de guānghuī.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30524.gif"" alt=""眼""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-fa5e23f6-e787a7e1-581975a9-923981dd-27a3b3a6.wav,yǎn,yǎn,Tone 3 ( ̌)
250,银,"<span class=""tone2"">银</span>","<span class=""tone2"">yín</span><!--yin-->",silver,"<span class=""tone2"">银</span><span class=""tone2"">行</span>{{c1:: － <span class=""tone2"">yín</span><span class=""tone2"">háng</span> － bank}}","<span class=""tone2"">银</span><span class=""tone3"">水</span>{{c1:: － <span class=""tone2"">yín</span><span class=""tone3"">shuǐ</span> － mercury}}",,,,"匪徒打劫了一家<span class=""highlight"">银</span>行。",The bandit robbed a bank.,Fěitú dǎjiéle yī jiā yínháng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38134.gif"" alt=""银""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-276ebac1-7c79ed6e-01356378-c0dfee84-64c46d07.wav,yín,yín,Tone 2 ( ́)
251,娘,"<span class=""tone2"">娘</span>","<span class=""tone2"">niáng</span><!--niang-->",young lady,"<span class=""tone1"">姑</span><span class=""tone5"">娘</span>{{c1:: － <span class=""tone1"">gū</span><span class=""tone5"">niang</span> － girl; young woman}}",,,,,"她是我的亲<span class=""highlight"">娘</span>。",She's my birth mother.,Tā shì wǒ de qīnniáng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23064.gif"" alt=""娘""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-56078e6e-e0a7f454-3d01fd92-9db26fa9-b12a9f88.wav,niáng,niáng,Tone 2 ( ́)
252,食,"<span class=""tone2"">食</span>","<span class=""tone2"">shí</span><!--shi-->",food,"<span class=""tone2"">食</span><span class=""tone4"">用</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone4"">yòng</span> － edible}}","<span class=""tone2"">食</span><span class=""tone3"">品</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone3"">pǐn</span> － food}}","<span class=""tone2"">食</span><span class=""tone4"">物</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone4"">wù</span> － food}}","<span class=""tone2"">食</span><span class=""tone2"">堂</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone2"">táng</span> － dining hall}}",,"超市里的<span class=""highlight"">食</span>品可以任顾客挑选。",Customers can select any of the foods in the supermarket they wish to.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39135.gif"" alt=""食""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-28fb0fa4-18239504-a30f2cc4-0937fc24-75296ce4.wav,shí,shí,Tone 2 ( ́)
253,饿,"<span class=""tone4"">饿</span>","<span class=""tone4"">è</span><!--e-->",hungry,"<span class=""tone4"">饿</span><span class=""tone3"">死</span>{{c1:: － <span class=""tone4"">è</span><span class=""tone3"">sǐ</span> － starve}}",,,,,"我<span class=""highlight"">饿</span>了。",I'm hungry.,Wǒ è le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39295.gif"" alt=""饿""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-e7decffd-89d03266-f1be9684-1d1d8e22-37b494f4.wav,è,è,Tone 4 ( ̀)
254,问,"<span class=""tone4"">问</span>","<span class=""tone4"">wèn</span><!--wen-->",to ask,"<span class=""tone4"">问</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone4"">wèn</span><span class=""tone3"">hǎo</span> － ask after; send regards to}}","<span class=""tone4"">问</span><span class=""tone2"">题</span>{{c1:: － <span class=""tone4"">wèn</span><span class=""tone2"">tí</span> － question; problem}}","<span class=""tone4"">问</span><span class=""tone2"">答</span>{{c1:: － <span class=""tone4"">wèn</span><span class=""tone2"">dá</span> － questions and answers}}","<span class=""tone2"">学</span><span class=""tone4"">问</span>{{c1:: － <span class=""tone2"">xué</span><span class=""tone4"">wèn</span> － learning}}",,"不懂就<span class=""highlight"">问</span>。","If you don't understand, then ask.",bù dǒng jiù wèn 。<!--bu dong jiu wen 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38382.gif"" alt=""问""style=""width:75px;height:75px;""/>",18 CharSet,data/sounds/oddcast-1cb7723b-e4a8c3c9-7253385b-c21a8244-402bb9ec.wav,wèn,wèn,Tone 4 ( ̀)
255,闻,"<span class=""tone2"">闻</span>","<span class=""tone2"">wén</span><!--wen-->",to hear,"<span class=""tone1"">新</span><span class=""tone2"">闻</span>{{c1:: － <span class=""tone1"">xīn</span><span class=""tone2"">wén</span> － news (e.g. on TV)}}",,,,,"这真是个大丑<span class=""highlight"">闻</span>。",This is really a big scandal.,Zhè zhēn shì gè dà chǒuwén.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38395.gif"" alt=""闻""style=""width:75px;height:75px;""/>",18 CharSet,data/sounds/oddcast-33f9a489-49547f1b-a78c9be6-d9a89c07-33807739.wav,wén,wén,Tone 2 ( ́)
256,方,"<span class=""tone1"">方</span>","<span class=""tone1"">fāng</span><!--fang-->",direction; square; method,"<span class=""tone1"">方</span><span class=""tone3"">法</span>{{c1:: － <span class=""tone1"">fāng</span><span class=""tone3"">fǎ</span> － method}}","<span class=""tone4"">四</span><span class=""tone1"">方</span>{{c1:: － <span class=""tone4"">sì</span><span class=""tone1"">fāng</span> － square}}","<span class=""tone1"">西</span><span class=""tone1"">方</span>{{c1:: － <span class=""tone1"">xī</span><span class=""tone1"">fāng</span> － the West}}","<span class=""tone4"">对</span><span class=""tone1"">方</span>{{c1:: － <span class=""tone4"">duì</span><span class=""tone1"">fāng</span> － the other side}}","<span class=""tone4"">地</span><span class=""tone5"">方</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone5"">fang</span> － place; aspect}}","同事们在讨论<span class=""highlight"">方</span>案。",The colleagues are discussing a project.,Tóngshìmen zài tǎolùn fāng'àn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26041.gif"" alt=""方""style=""width:75px;height:75px;""/>",18 CharSet,data/sounds/oddcast-7733c04b-d36516f3-07821905-cf59d168-8e4edb11.wav,fāng,fāng,Tone 1 ( ̄)
257,仿,"<span class=""tone1"">仿</span>","<span class=""tone1"">fāng</span><!--fang-->",visit,"<span class=""tone3"">访</span><span class=""tone4"">问</span>{{c1:: － <span class=""tone3"">fǎng</span><span class=""tone4"">wèn</span> － visit; interview}}",,,,,"大家<span class=""highlight"">仿</span>效老师的动作来练习。",Everyone is copying the teacher's movements.,Dàjiā fǎngxiào lǎoshī de dòngzuò lái liànxí.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20223.gif"" alt=""仿"" style=""width:75px;height:75px;"">",18 CharSet,data/sounds/oddcast-e0389b28-40135d78-55d764b0-a556135c-d4dff5f4.wav,fāng,fāng,Tone 1 ( ̄)
258,房,"<span class=""tone2"">房</span>","<span class=""tone2"">fáng</span><!--fang-->",house,"<span class=""tone2"">房</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone2"">fáng</span><span class=""tone5"">zi</span> － house}}",,,,,"女儿的<span class=""highlight"">房</span>间很杂乱。",My daughter's room is a mess.,Nǚ'ér de fángjiān hěn záluàn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25151.gif"" alt=""房""style=""width:75px;height:75px;""/>",18 CharSet,data/sounds/oddcast-d266bf1d-f74bb23d-a2af3c53-1d819767-fded4984.wav,fáng,fáng,Tone 2 ( ́)
259,放,"<span class=""tone4"">放</span>","<span class=""tone4"">fàng</span><!--fang-->",to put; to place; let go; release,"<span class=""tone4"">放</span><span class=""tone2"">学</span>{{c1:: － <span class=""tone4"">fàng</span><span class=""tone2"">xué</span> － to release school}}",,,,,"这里堆<span class=""highlight"">放</span>了很多垃圾。",A great deal of garbage has piled up here.,Zhèli duīfàngle hěn duō lājī.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25918.gif"" alt=""放""style=""width:75px;height:75px;""/>",18 CharSet,data/sounds/oddcast-d1d044fa-89066ff9-85aeaed0-216eb717-0c82cd57.wav,fàng,fàng,Tone 4 ( ̀)
260,旁,"<span class=""tone2"">旁</span>","<span class=""tone2"">páng</span><!--pang-->",beside,"<span class=""tone2"">旁</span><span class=""tone1"">边</span>{{c1:: － <span class=""tone2"">páng</span><span class=""tone1"">biān</span> － side}}","<span class=""tone3"">两</span><span class=""tone2"">旁</span>{{c1:: － <span class=""tone3"">liǎng</span><span class=""tone2"">páng</span> － both sides}}",,,,"大家坐在桌子<span class=""highlight"">旁</span>边。",Everyone's sitting at the table.,Dàjiā zuò zài zhuōzi pángbiān.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26049.gif"" alt=""旁""style=""width:75px;height:75px;""/>",18 CharSet,data/sounds/oddcast-9395130e-ce2f2bda-fc764fd8-729225cd-181b9515.wav,páng,páng,Tone 2 ( ́)
261,万,"<span class=""tone4"">万</span>","<span class=""tone4"">wàn</span><!--wan-->",ten-thousand,"<span class=""tone3"">百</span><span class=""tone4"">万</span>{{c1:: － <span class=""tone3"">bǎi</span><span class=""tone4"">wàn</span> － million}}","<span class=""tone4"">万</span><span class=""tone2"">能</span>{{c1:: － <span class=""tone4"">wàn</span><span class=""tone2"">néng</span> － multipurpose; all powerful}}","A<span class=""tone4"">万</span><span class=""tone4"">岁</span>{{c1:: － <span class=""tone4"">wàn</span><span class=""tone4"">suì</span> － Long live A!}}",,,"我有一<span class=""highlight"">万</span>美金。",I've got ten thousand U.,Wǒ yǒu yīwàn Měijīn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19975.gif"" alt=""万"" style=""width:75px;height:75px;"">",18 CharSet,data/sounds/oddcast-5740065a-6cb74853-c167ec62-f5efd631-5d1971c1.wav,wàn,wàn,Tone 4 ( ̀)
262,主,"<span class=""tone3"">主</span>","<span class=""tone3"">zhǔ</span><!--zhu-->",main; host; owner; lord,"<span class=""tone3"">主</span><span class=""tone4"">要</span>{{c1:: － <span class=""tone3"">zhǔ</span><span class=""tone4"">yào</span> － main; major; chief}}","<span class=""tone3"">主</span><span class=""tone5"">意</span>{{c1:: － <span class=""tone3"">zhǔ</span><span class=""tone5"">yi</span> － idea; view}}","<span class=""tone3"">主</span><span class=""tone1"">观</span>{{c1:: － <span class=""tone3"">zhǔ</span><span class=""tone1"">guān</span> － subjective}}","<span class=""tone3"">主</span><span class=""tone4"">动</span>{{c1:: － <span class=""tone3"">zhǔ</span><span class=""tone4"">dòng</span> － of one's own accord}}","<span class=""tone3"">主</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone3"">zhǔ</span><span class=""tone2"">rén</span> － host; proprietor}}","店<span class=""highlight"">主</span>给我找零钱。",The shop owner gave me the change.,Diàn zhǔ gěi wǒ zhǎo líng qián.<!--Dian zhu gei wo zhao ling qian.-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20027.gif"" alt=""主"" style=""width:75px;height:75px;"">",18 CharSet,data/sounds/oddcast-da8ee1ad-17863691-70276c90-be581124-a61247e6.wav,zhǔ,zhǔ,Tone 3 ( ̌)
263,住,"<span class=""tone4"">住</span>","<span class=""tone4"">zhù</span><!--zhu-->",to live in; to stay in; to reside in,"<span class=""tone4"">住</span><span class=""tone3"">口</span>{{c1:: － <span class=""tone4"">zhù</span><span class=""tone3"">kǒu</span> － shut up!}}",,,,,"她把车刹<span class=""highlight"">住</span>了。",She braked and stopped the car.,Tā bǎ chē shāzhù le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20303.gif"" alt=""住"" style=""width:75px;height:75px;"">",18 CharSet,data/sounds/oddcast-5b495af0-12dc9ef5-2a83d9dd-a0c93000-63906b22.wav,zhù,zhù,Tone 4 ( ̀)
