一	"<span class=""tone1"">一</span>"	"<span class=""tone1"">yī</span><!--yi-->"	one	"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}"	"<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}"	"<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}"	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"		"<span class=""highlight"">一</span>二三。"	One two three.	yī èr sān 。<!--yi er san 。-->	[sound:oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">"	1 CharSet
岁	"<span class=""tone4"">岁</span>"	"<span class=""tone4"">suì</span><!--sui-->"	year (age)	"<span class=""tone4"">岁</span><span class=""tone5"">数</span>{{c1:: － <span class=""tone4"">suì</span><span class=""tone5"">shu</span> － age (used in a question)}}"	"<span class=""tone2"">年</span><span class=""tone4"">岁</span>{{c1:: － <span class=""tone2"">nián</span><span class=""tone4"">suì</span> － age}}"	"<span class=""tone4"">岁</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">suì</span><span class=""tone4"">yuè</span> － years}}"			"李老师今年五十七<span class=""highlight"">岁</span>。"	Teacher Li is 57 years old.	lǐ lǎo shī jīn nián wǔ shí qī suì 。<!--li lao shi jin nian wu shi qi sui 。-->	[sound:oddcast-b77a2213-eb5e0c7a-27766828-3282d2cb-7fd8d4a6.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23681.gif"" alt=""岁""style=""width:75px;height:75px;""/>"	9 CharSet
但	"<span class=""tone4"">但</span>"	"<span class=""tone4"">dàn</span><!--dan-->"	but; however	"<span class=""tone4"">但</span><span class=""tone4"">是</span>{{c1:: － <span class=""tone4"">dàn</span><span class=""tone4"">shì</span> － but}}"	"<span class=""tone4"">不</span><span class=""tone4"">但</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone4"">dàn</span> － not only}}"				"虽然跑得很累，<span class=""highlight"">但</span>是很多人都没有放弃。"	Though exhausted from running, many refused to give up.	Suīrán pǎo de hěnlèi, dànshì hěn duō rén dōuméiyǒu fàngqì.<!--Sui ran pao de hen lei, dan shi hen duo ren dou mei you fang qi.-->	[sound:oddcast-e206c5f8-3330556e-9b6048f1-7db31bd9-19b69644.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20294.gif"" alt=""但"" style=""width:75px;height:75px;"">"	9 CharSet
公	"<span class=""tone1"">公</span>"	"<span class=""tone1"">gōng</span><!--gong-->"	public	"<span class=""tone1"">公</span><span class=""tone1"">开</span>{{c1:: － <span class=""tone1"">gōng</span><span class=""tone1"">kāi</span> － open to the public}}"	"<span class=""tone1"">公</span><span class=""tone4"">共</span><span class=""tone4"">汽</span><span class=""tone1"">车</span>{{c1:: － <span class=""tone1"">gōng</span><span class=""tone4"">gòng</span><span class=""tone4"">qì</span><span class=""tone1"">chē</span> － bus}}"	"<span class=""tone1"">公</span><span class=""tone4"">布</span>{{c1:: － <span class=""tone1"">gōng</span><span class=""tone4"">bù</span> － announce}}"	"<span class=""tone1"">公</span><span class=""tone4"">路</span>{{c1:: － <span class=""tone1"">gōng</span><span class=""tone4"">lù</span> － highway}}"		"我在这里办<span class=""highlight"">公</span>。"	I'm working here.	Wǒ zài zhèli bàngōng.	[sound:oddcast-2cd87b40-5a5c66b6-5b110bb2-edd05c1e-eb3cf215.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20844.gif"" alt=""公""style=""width:75px;height:75px;""/>"	9 CharSet
以	"<span class=""tone3"">以</span>"	"<span class=""tone3"">yǐ</span><!--yi-->"	using; by means of; with	"<span class=""tone3"">以</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone3"">yǐ</span><span class=""tone2"">qián</span> － before}}"	"<span class=""tone3"">以</span><span class=""tone4"">外</span>{{c1:: － <span class=""tone3"">yǐ</span><span class=""tone4"">wài</span> － except}}"	"<span class=""tone3"">以</span><span class=""tone4"">便</span>{{c1:: － <span class=""tone3"">yǐ</span><span class=""tone4"">biàn</span> － so that}}"			"二乘<span class=""highlight"">以</span>三等于六。"	Two multiplied by three equals six.	Èr chéng yǐ sān děngyú liù.	[sound:oddcast-f1168cc7-c35171ae-1ecc82f9-9930d4d0-4822119b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20197.gif"" alt=""以"" style=""width:75px;height:75px;"">"	9 CharSet
之	"<span class=""tone1"">之</span>"	"<span class=""tone1"">zhī</span><!--zhi-->"	it, of	"<span class=""tone3"">百</span><span class=""tone1"">分</span><span class=""tone1"">之</span><span class=""tone2"">十</span>{{c1:: － <span class=""tone3"">bǎi</span><span class=""tone1"">fēn</span><span class=""tone1"">zhī</span><span class=""tone2"">shí</span> － ten percent}}"	"<span class=""tone1"">之</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone1"">zhī</span><span class=""tone2"">qián</span> － prior to}}"	"<span class=""tone1"">之</span><span class=""tone1"">间</span>{{c1:: － <span class=""tone1"">zhī</span><span class=""tone1"">jiān</span> － between}}"			"狮子是百兽<span class=""highlight"">之</span>王。"	The lion is the king of the animal world.	Shīzi shì bǎishòu zhī wáng.	[sound:oddcast-d66c4890-7cd6f372-2d7d4ba2-47b3b921-ad83ad98.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20043.gif"" alt=""之"" style=""width:75px;height:75px;"">"	9 CharSet
为	"<span class=""tone2"">为</span> / <span class=""tone4"">为</span>"	"<span class=""tone2"">wéi</span> / <span class=""tone4"">wèi</span><!--wei / wei-->"	to be (act as) / for the benefit (purpose/sake) of	"<span class=""tone4"">为</span><span class=""tone5"">了</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone5"">le</span> － in order to; for; because of}}"	"<span class=""tone3"">以</span><span class=""tone2"">为</span>{{c1:: － <span class=""tone3"">yǐ</span><span class=""tone2"">wéi</span> － think}}"	"<span class=""tone4"">为</span><span class=""tone2"">什</span><span class=""tone5"">么</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone2"">shén</span><span class=""tone5"">me</span> － why}}"			"她<span class=""highlight"">为</span>什么叹气？"	Why is she sighing?	Tā wèishénme tànqì?	[sound:oddcast-b99a9e61-a26c894e-948d3082-4de84624-af16a4c9.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20026.gif"" alt=""为"" style=""width:75px;height:75px;"">"	9 CharSet
办	"<span class=""tone4"">办</span>"	"<span class=""tone4"">bàn</span><!--ban-->"	to manage; to do; to handle	"<span class=""tone4"">办</span><span class=""tone1"">公</span><span class=""tone4"">室</span>{{c1:: － <span class=""tone4"">bàn</span><span class=""tone1"">gōng</span><span class=""tone4"">shì</span> － office}}"	"<span class=""tone4"">办</span><span class=""tone3"">法</span>{{c1:: － <span class=""tone4"">bàn</span><span class=""tone3"">fǎ</span> － method}}"				"我在这里<span class=""highlight"">办</span>公。"	I'm working here.	Wǒ zài zhèli bàngōng.	[sound:oddcast-aceaeaa3-4074b043-14438efe-9d28e68e-797e9e26.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21150.gif"" alt=""办""style=""width:75px;height:75px;""/>"	9 CharSet
干	"<span class=""tone1"">干</span> \ <span class=""tone4"">干</span>"	"<span class=""tone1"">gān</span> \ <span class=""tone4"">gàn</span><!--gan \ gan-->"	dry \ work	"<span class=""tone1"">干</span><span class=""tone1"">杯</span>{{c1:: － <span class=""tone1"">gān</span><span class=""tone1"">bēi</span> － cheers}}"	"<span class=""tone4"">干</span><span class=""tone2"">吗</span>{{c1:: － <span class=""tone4"">gàn</span><span class=""tone2"">má</span> － what (are you) doing?}}"				"饼<span class=""highlight"">干</span>很脆口。"	The cookies are crisp.	Bǐnggān hěn cuìkǒu.	[sound:oddcast-35f073d2-ee28c960-2790f118-6e4d190e-7b7435ef.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24178.gif"" alt=""干""style=""width:75px;height:75px;""/>"	9 CharSet
午	"<span class=""tone3"">午</span>"	"<span class=""tone3"">wǔ</span><!--wu-->"	noon	"<span class=""tone1"">中</span><span class=""tone3"">午</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone3"">wǔ</span> － noon}}"	"<span class=""tone3"">午</span><span class=""tone1"">餐</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone1"">cān</span> － lunch}}"	"<span class=""tone3"">午</span><span class=""tone4"">睡</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone4"">shuì</span> － afternoon nap}}"			"<span class=""highlight"">午</span>前就是中<span class=""highlight"">午</span>一点之前。"	Fornoon is before 1:00pm.	wǔ qián jìu shì zhōng wǔ yī diǎn zhī qián 。<!--wu qian jiu shi zhong wu yi dian zhi qian 。-->	[sound:oddcast-cf46d753-c2024c43-8ebdc761-000f23f2-b2c3edfd.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21320.gif"" alt=""午""style=""width:75px;height:75px;""/>"	9 CharSet
和	"<span class=""tone4"">和</span> / <span class=""tone2"">和</span>"	"<span class=""tone4"">hè</span> / <span class=""tone2"">huó</span><!--he / huo-->"	and (along with) / mix	"<span class=""tone2"">和</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone3"">hǎo</span> － become reconciled}}"	"<span class=""tone2"">和</span><span class=""tone2"">平</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone2"">píng</span> － peace; peacefull}}"	"<span class=""tone2"">和</span><span class=""tone4"">睦</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone4"">mù</span> － harmoniuos}}"	"<span class=""tone2"">和</span><span class=""tone5"">气</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone5"">qi</span> － amiable}}"		"他<span class=""highlight"">和</span>我一样高。"	He and I are the same height.	tā hé wǒ yī yàng gāo 。<!--ta he wo yi yang gao 。-->	[sound:oddcast-55606623-7db01cf1-5d7f8154-34383dea-271acaec.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21644.gif"" alt=""和""style=""width:75px;height:75px;""/>"	9 CharSet
母	"<span class=""tone3"">母</span>"	"<span class=""tone3"">mǔ</span><!--mu-->"	Mother	"<span class=""tone3"">母</span><span class=""tone3"">语</span>{{c1:: － <span class=""tone3"">mǔ</span><span class=""tone3"">yǔ</span> － mother tongue}}"	"<span class=""tone4"">字</span><span class=""tone3"">母</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone3"">mǔ</span> － alphabet}}"	"<span class=""tone3"">母</span><span class=""tone1"">亲</span>{{c1:: － <span class=""tone3"">mǔ</span><span class=""tone1"">qīn</span> － mother}}"	"<span class=""tone4"">父</span><span class=""tone3"">母</span>{{c1:: － <span class=""tone4"">fù</span><span class=""tone3"">mǔ</span> － parents}}"		"父<span class=""highlight"">母</span>为他的成功感到骄傲。"	His parents are proud of his success.	Fùmǔ wèi tā de chénggōng gǎndào jiāo'ào.	[sound:oddcast-2a0564c9-fa0b0b5c-0dc805f4-ef26f2d3-67278dc6.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27597.gif"" alt=""母""style=""width:75px;height:75px;""/>"	10 CharSet
每	"<span class=""tone3"">每</span>"	"<span class=""tone3"">měi</span><!--mei-->"	each; every	"<span class=""tone3"">每</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone3"">měi</span><span class=""tone1"">tiān</span> － every day}}"	"<span class=""tone3"">每</span><span class=""tone3"">每</span>{{c1:: － <span class=""tone3"">měi</span><span class=""tone3"">měi</span> － often}}"				"她习惯<span class=""highlight"">每</span>天晨跑。"	She is in the habit of running every morning.	Tā xíguàn měi tiān chénpǎo.	[sound:oddcast-3188c1f5-f43c3b7a-00840ca5-22065d88-c396c086.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27599.gif"" alt=""每""style=""width:75px;height:75px;""/>"	10 CharSet
海	"<span class=""tone3"">海</span>"	"<span class=""tone3"">hǎi</span><!--hai-->"	sea	"<span class=""tone3"">海</span><span class=""tone1"">边</span>{{c1:: － <span class=""tone3"">hǎi</span><span class=""tone1"">biān</span> － seaside}}"	"<span class=""tone3"">海</span><span class=""tone1"">滩</span>{{c1:: － <span class=""tone3"">hǎi</span><span class=""tone1"">tān</span> － beach}}"	"<span class=""tone4"">上</span><span class=""tone3"">海</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone3"">hǎi</span> － Shanghai}}"	"<span class=""tone3"">海</span><span class=""tone3"">底</span>{{c1:: － <span class=""tone3"">hǎi</span><span class=""tone3"">dǐ</span> － seabed}}"		"石油污染<span class=""highlight"">海</span>岸，造成环境浩劫。"	The oil is polluting the coast and causing an environmental disaster.	Shíyóu wūrǎn hǎi'àn, zàochéng huánjìng hàojié.	[sound:oddcast-a4b6d4d1-e9fd5814-b1211a4c-2758f5d0-8a1cd55d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/28023.gif"" alt=""海""style=""width:75px;height:75px;""/>"	10 CharSet
用	"<span class=""tone4"">用</span>"	"<span class=""tone4"">yòng</span><!--yong-->"	to use	"<span class=""tone4"">不</span><span class=""tone4"">用</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone4"">yòng</span> － no need to}}"	"<span class=""tone3"">有</span><span class=""tone4"">用</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone4"">yòng</span> － useful}}"	"<span class=""tone1"">家</span><span class=""tone4"">用</span><span class=""tone4"">电</span><span class=""tone4"">器</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone4"">yòng</span><span class=""tone4"">diàn</span><span class=""tone4"">qì</span> － household appliances}}"			"我<span class=""highlight"">用</span>汤匙喝汤。"	I am eating the soup with a spoon.	Wǒ yòng tāngchí hē tāng.	[sound:oddcast-bb6f0fd4-64f6641f-59bd57af-6d3cd5db-1f5d7fa6.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29992.gif"" alt=""用""style=""width:75px;height:75px;""/>"	10 CharSet
半	"<span class=""tone4"">半</span>"	"<span class=""tone4"">bàn</span><!--ban-->"	half; half an hour	"<span class=""tone4"">半</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone4"">bàn</span><span class=""tone1"">tiān</span> － long time; half day}}"	"<span class=""tone1"">多</span><span class=""tone4"">半</span>{{c1:: － <span class=""tone1"">duō</span><span class=""tone4"">bàn</span> － more often than not}}"				"我喝了<span class=""highlight"">半</span>瓶酒。"	I've drunk half a bottle of wine.	Wǒ hēle bàn píng jiǔ.	[sound:oddcast-14ea1da5-41a700e2-ea130a0e-2191c34c-0ad58ff3.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21322.gif"" alt=""半""style=""width:75px;height:75px;""/>"	10 CharSet
利	"<span class=""tone4"">利</span>"	"<span class=""tone4"">lì</span><!--li-->"	benefit; sharp	"<span class=""tone3"">有</span><span class=""tone4"">利</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone4"">lì</span> － favorable}}"	"<span class=""tone4"">利</span><span class=""tone4"">用</span>{{c1:: － <span class=""tone4"">lì</span><span class=""tone4"">yòng</span> － make use of}}"	"<span class=""tone4"">利</span><span class=""tone4"">益</span>{{c1:: － <span class=""tone4"">lì</span><span class=""tone4"">yì</span> － interest (financal)}}"	"<span class=""tone4"">利</span><span class=""tone4"">润</span>{{c1:: － <span class=""tone4"">lì</span><span class=""tone4"">rùn</span> － profit}}"		"今年我的股票获<span class=""highlight"">利</span>了。"	I made a profit from my stock this year.	Jīnnián wǒ de gǔpiào huòlì le.	[sound:oddcast-0fef9610-2f3158ed-563f64e2-de8bb77a-16c1e79b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21033.gif"" alt=""利""style=""width:75px;height:75px;""/>"	10 CharSet
生	"<span class=""tone1"">生</span>"	"<span class=""tone1"">shēng</span><!--sheng-->"	to give birth to; life	"<span class=""tone1"">生</span><span class=""tone4"">日</span>{{c1:: － <span class=""tone1"">shēng</span><span class=""tone4"">rì</span> － birthday}}"	"<span class=""tone1"">生</span><span class=""tone2"">词</span>{{c1:: － <span class=""tone1"">shēng</span><span class=""tone2"">cí</span> － new word}}"	"<span class=""tone4"">大</span><span class=""tone2"">学</span><span class=""tone5"">生</span>{{c1:: － <span class=""tone4"">dà</span><span class=""tone2"">xué</span><span class=""tone5"">sheng</span> － university student}}"	"<span class=""tone1"">生</span><span class=""tone3"">产</span>{{c1:: － <span class=""tone1"">shēng</span><span class=""tone3"">chǎn</span> － manufacture}}"		"我家的猫<span class=""highlight"">生</span>了三小猫。"	Our cat gave birth to three kittens.	wǒ jiā de māo shēng le sān xiǎo māo 。<!--wo jia de mao sheng le san xiao mao 。-->	[sound:oddcast-37933c6f-1715a2ef-6dbc219d-921d90a2-65cdc432.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29983.gif"" alt=""生""style=""width:75px;height:75px;""/>"	10 CharSet
胜	"<span class=""tone4"">胜</span>"	"<span class=""tone4"">shèng</span><!--sheng-->"	triumph	"<span class=""tone4"">胜</span><span class=""tone4"">利</span>{{c1:: － <span class=""tone4"">shèng</span><span class=""tone4"">lì</span> － victory}}"	"<span class=""tone2"">名</span><span class=""tone4"">胜</span><span class=""tone3"">古</span><span class=""tone4"">迹</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone4"">shèng</span><span class=""tone3"">gǔ</span><span class=""tone4"">jì</span> － points of interest}}"				"他率领球队获<span class=""highlight"">胜</span>了。"	He led the team to victory.	Tā shuàilǐng qiúduì huòshèng le.	[sound:oddcast-8e4a0cf3-03eeccf9-db5db309-94c8e836-4b73412e.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32988.gif"" alt=""胜""style=""width:75px;height:75px;""/>"	10 CharSet
姓	"<span class=""tone4"">姓</span>"	"<span class=""tone4"">xìng</span><!--xing-->"	to be surnamed	"<span class=""tone4"">姓</span><span class=""tone2"">名</span>{{c1:: － <span class=""tone4"">xìng</span><span class=""tone2"">míng</span> － full name}}"	"<span class=""tone4"">姓</span><span class=""tone4"">氏</span>{{c1:: － <span class=""tone4"">xìng</span><span class=""tone4"">shì</span> － surname}}"	"<span class=""tone3"">老</span><span class=""tone3"">百</span><span class=""tone4"">姓</span>{{c1:: － <span class=""tone3"">lǎo</span><span class=""tone3"">bǎi</span><span class=""tone4"">xìng</span> － commoner}}"	"<span class=""tone2"">同</span><span class=""tone4"">姓</span>{{c1:: － <span class=""tone2"">tóng</span><span class=""tone4"">xìng</span> － having the same surname}}"		"我<span class=""highlight"">姓</span>李，民叫恩华。"		wǒ xìng lǐ ， mín jiào ēn huá 。<!--wo xing li ， min jiao en hua 。-->	[sound:oddcast-17392e9d-900d441d-b12052b4-9a7120a6-40ea242b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22995.gif"" alt=""姓""style=""width:75px;height:75px;""/>"	10 CharSet
